City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
198,Cayenne,23,GF,1589964187,100,4.93,-52.33,297.15,2.7
199,Behbahān,94,IR,1589964188,12,30.6,50.24,314.15,3.1
200,Teya,0,RU,1589964189,33,60.38,92.63,297.77,4.28
201,Salinópolis,95,BR,1589964190,88,-0.61,-47.36,299.09,3.65
202,Antalaha,88,MG,1589964191,82,-14.9,50.28,296.83,5.98
203,Souillac,40,MU,1589964192,61,-20.52,57.52,298.15,7.2
204,Luganville,35,VU,1589964193,73,-15.53,167.17,296.34,4.26
205,Quang Ngai,100,VN,1589964142,59,15.12,108.8,306.23,3.71
206,Leningradskiy,90,RU,1589964195,96,69.38,178.42,270.59,1.85
207,Tsiroanomandidy,0,MG,1589964167,42,-18.77,46.03,297.28,2.47
208,Nha Trang,20,VN,1589964198,63,12.25,109.18,309.15,7.7
209,Haines Junction,100,CA,1589964199,73,60.75,-137.51,277.64,1.81
210,Mnogovershinnyy,100,RU,1589964201,58,53.94,139.92,280.56,2.09
211,Fairbanks,1,US,1589964202,27,64.84,-147.72,284.15,2.4
212,Saint-Joseph,27,RE,1589964203,54,-21.37,55.62,299.15,11.3
213,Ampanihy,0,MG,1589964204,41,-24.7,44.75,298.41,5.59
214,Esil,48,KZ,1589964205,53,51.96,66.4,290.49,10.55
215,Ilulissat,0,GL,1589964206,100,69.22,-51.1,271.15,1.0
216,Tiznit Province,0,MA,1589964208,29,29.58,-9.5,298.45,0.49
217,Ugoofaaru,100,MV,1589964210,77,5.67,73.0,302.8,8.75
218,Evanston,90,US,1589963944,82,42.04,-87.69,286.48,3.1
219,Itarema,19,BR,1589964212,93,-2.92,-39.92,297.33,4.0
220,Myanaung,100,MM,1589964213,45,18.28,95.32,308.18,6.25
221,Ukiah,1,US,1589964214,87,39.15,-123.21,283.15,2.1
222,Verkhnetulomskiy,40,RU,1589964216,55,68.61,31.8,277.15,3.0
223,Inírida,100,CO,1589964217,97,3.87,-67.92,295.63,0.25
224,Kruisfontein,0,ZA,1589964218,26,-34.0,24.73,297.6,3.22
225,Binzhou,0,CN,1589964219,24,37.37,118.02,305.37,0.45
226,Makkah al Mukarramah,0,SA,1589964220,17,21.43,39.83,312.27,3.32
227,Vardø,75,NO,1589964222,65,70.37,31.11,278.15,3.6
228,Mandalgovi,100,MN,1589964223,45,45.76,106.27,289.47,4.02
229,Kyzyl-Suu,100,KG,1589964224,53,42.34,78.0,287.11,2.91
230,Port Victoria,1,KE,1589964225,71,0.09,33.98,297.1,3.55
231,Fostoria,90,US,1589964226,81,41.16,-83.42,284.26,6.2
232,Kloulklubed,90,PW,1589964227,88,7.04,134.26,300.15,5.7
233,Broken Hill,99,AU,1589964229,37,-31.95,141.43,286.15,2.6
234,Mayo,20,US,1589964230,54,38.89,-76.51,285.37,4.6
235,Sawtell,40,AU,1589964232,77,-30.38,153.1,292.15,3.6
236,San Miguel,100,SV,1589964116,88,13.48,-88.18,297.85,0.98
237,Namatanai,6,PG,1589964234,83,-3.67,152.43,300.42,4.62
238,Umluj,0,SA,1589964235,42,25.02,37.27,305.44,4.19
239,Kichera,100,RU,1589964236,40,55.94,110.1,289.31,1.97
240,Esna,2,EG,1589964237,27,25.29,32.55,311.15,1.0
241,Banugao,50,PH,1589964238,69,14.73,121.63,306.48,2.68
242,Coos Bay,90,US,1589964241,93,43.37,-124.22,284.15,2.1
243,Cap-aux-Meules,0,CA,1589964003,85,47.38,-61.86,275.02,7.3
244,Castro,77,BR,1589964243,96,-24.79,-50.01,286.35,2.9
245,Patna,75,IN,1589964244,63,25.6,85.12,306.15,4.1
246,Bambous Virieux,40,MU,1589964245,61,-20.34,57.76,298.15,7.2
247,Pirgos,67,GR,1589964246,78,35.12,25.72,308.71,3.1
248,Camacha,40,PT,1589964247,68,33.08,-16.33,291.15,4.1
249,Moranbah,100,AU,1589964248,83,-22.0,148.05,292.26,4.17
250,Tegul'det,44,RU,1589964249,29,57.31,88.17,300.42,3.2
251,Kahului,1,US,1589964007,73,20.89,-156.47,297.15,4.1
252,Fortuna,90,US,1589964057,87,40.6,-124.16,285.93,4.1
253,Mozelos,75,PT,1589964253,82,41.87,-8.4,294.26,3.1
254,Saint-Philippe,49,RE,1589964254,54,-21.36,55.77,299.15,11.3
255,Sokolo,8,ML,1589964255,13,14.73,-6.12,311.46,4.77
256,San Juan,11,AR,1589964257,59,-31.54,-68.54,284.29,6.49
257,Tazovsky,0,RU,1589964191,36,67.47,78.7,295.79,7.45
258,Kamenka,99,RU,1589964259,68,51.32,42.77,285.93,2.67
259,Carolina,40,PR,1589964260,78,18.38,-65.96,299.15,1.5
260,At-Bashi,14,KG,1589964261,75,41.17,75.81,282.04,4.51
261,Kiryat Gat,0,IL,1589964262,26,31.61,34.76,314.26,0.45
262,Rome,1,US,1589964245,57,43.21,-75.46,283.15,3.1
263,Novobelokatay,98,RU,1589964265,85,55.71,58.95,281.84,4.83
264,Erenhot,62,CN,1589964267,28,43.65,111.98,294.99,2.37
265,Abū Zabad,30,SD,1589964268,26,12.35,29.25,309.57,4.56
266,Eureka,85,US,1589964185,74,40.8,-124.16,286.48,2.68
267,Umm Kaddadah,98,SD,1589964271,26,13.6,26.69,308.0,4.32
268,Almuñécar,99,ES,1589964272,49,36.73,-3.69,298.71,2.68
269,Ostrovnoy,82,RU,1589964273,83,68.05,39.51,275.5,9.1
270,Colac,100,AU,1589964055,96,-38.33,143.58,284.26,0.45
271,Balkanabat,0,TM,1589964276,24,39.51,54.37,299.79,2.44
272,Tsimmerbude,60,RU,1589964278,58,54.67,20.13,285.15,3.0
273,Zyryanka,0,RU,1589964280,56,65.75,150.85,280.84,8.68
274,Onega,100,RU,1589964282,78,63.91,38.14,277.74,6.01
275,Tateyama,75,JP,1589964284,82,34.98,139.87,289.15,5.1
276,Steinbach am Taunus,40,DE,1589964287,56,50.17,8.57,295.93,1.5
277,Shamary,75,RU,1589964288,40,57.34,58.22,291.26,2.77
278,Esperance,40,AU,1589964290,67,-33.87,121.9,288.15,4.6
279,Il'inskoye-Khovanskoye,75,RU,1589964291,57,56.97,39.77,283.15,4.0
280,Monze,0,ZM,1589964292,40,-16.28,27.48,294.54,4.11
281,Ifanadiana,14,MG,1589964293,56,-21.3,47.63,295.24,2.09
282,Ulaanbaatar,40,MN,1589964294,81,47.91,106.88,283.15,3.0
283,Bubaque,31,GW,1589964296,62,11.28,-15.83,298.74,4.65
284,Lompoc,1,US,1589964297,93,34.64,-120.46,284.15,4.32
285,Wahiawā,90,US,1589964298,88,21.5,-158.02,299.15,2.1
286,Agadez,0,NE,1589964299,7,19.75,10.25,311.21,3.5
287,Shimoda,75,JP,1589964301,82,34.67,138.95,289.15,5.1
288,Mahébourg,40,MU,1589964303,61,-20.41,57.7,298.15,7.2
289,Navlya,75,RU,1589964304,58,52.83,34.5,285.15,3.0
290,Meadow Lake,40,US,1589964305,17,34.8,-106.54,291.15,3.1
291,Pacific Grove,90,US,1589964306,62,36.62,-121.92,288.15,3.1
292,Kibre Mengist,88,ET,1589964308,83,5.88,38.98,292.7,1.61
293,Cuenca,97,EC,1589964310,93,-2.88,-78.98,286.15,1.5
294,Podor,47,MR,1589964311,53,16.65,-14.96,297.15,1.0
295,Baruun-Urt,88,MN,1589964312,29,46.68,113.28,293.09,1.06
296,Zemio,99,CF,1589964313,85,5.03,25.14,300.23,1.4
297,Sitka,90,US,1589964315,87,57.05,-135.33,281.15,3.1
298,Poykovskiy,20,RU,1589964316,72,61.23,73.33,289.15,4.0
299,Kirakira,14,SB,1589964318,83,-10.45,161.92,299.83,5.84
300,Kaniama,0,CD,1589964319,47,-7.57,24.18,300.97,2.25
301,Oruzgan,77,AF,1589964320,16,32.83,66.0,298.6,2.67
302,Mayumba,97,GA,1589964321,86,-3.43,10.66,299.07,2.12
303,Matamoros,3,MX,1589964322,20,25.53,-103.25,300.37,0.45
304,Havøysund,20,NO,1589964323,69,71.0,24.66,277.15,4.1
305,Laguna,1,US,1589964324,76,38.42,-121.42,286.48,2.6
306,San Cristobal,100,VE,1589964327,87,7.77,-72.22,292.82,1.13
307,Bilma,0,NE,1589964328,6,18.69,12.92,312.5,3.3
308,Bacolod City,100,PH,1589964112,68,10.67,122.95,304.18,1.54
309,Airai,82,TL,1589964330,100,-8.93,125.41,289.75,2.17
310,Beira,20,MZ,1589964331,73,-19.84,34.84,297.15,4.1
311,Srednekolymsk,0,RU,1589964332,67,67.45,153.68,277.92,5.83
312,Santiago del Estero,0,AR,1589964333,83,-27.8,-64.26,290.83,1.49
313,Miquelon,0,PM,1589964335,80,47.1,-56.38,277.15,3.1
314,Sulangan,100,PH,1589964336,69,11.14,123.72,303.98,3.16
315,Pochutla,33,MX,1589964337,83,15.74,-96.47,299.26,0.26
316,High Level,90,CA,1589964338,70,58.52,-117.14,282.15,1.5
317,Coffs Harbour,40,AU,1589964340,77,-30.3,153.13,292.15,3.6
318,Tūkrah,36,LY,1589964341,57,32.53,20.58,297.42,6.61
319,Kununurra,40,AU,1589964342,47,-15.77,128.73,298.15,5.7
320,Wentzville,91,US,1589964343,96,38.81,-90.85,288.71,2.57
321,Coyhaique,99,CL,1589964345,81,-45.58,-72.07,273.15,3.6
322,Makakilo City,90,US,1589964346,88,21.35,-158.09,298.15,2.1
323,Gazli,0,UZ,1589964347,19,40.13,63.45,300.56,6.97
324,Yenagoa,99,NG,1589964348,70,4.92,6.26,303.48,2.76
325,Yining,98,CN,1589964349,63,29.04,114.56,300.82,1.61
326,Berlevåg,40,NO,1589964350,81,70.86,29.09,277.15,4.1
327,Galesong,40,ID,1589964351,100,-5.32,119.37,299.15,3.1
328,Yashkul',95,RU,1589964352,42,46.17,45.34,296.05,7.93
329,Parkes,57,AU,1589964353,84,-33.13,148.18,289.26,1.34
330,Abrau-Dyurso,47,RU,1589964355,56,44.69,37.59,293.15,8.0
331,Karlshamn,72,SE,1589964356,47,56.17,14.86,288.15,3.1
332,Erzin,54,TR,1589964357,23,36.96,36.2,309.15,1.0
333,São Filipe,19,CV,1589964358,77,14.9,-24.5,295.38,4.11
